0	1520
1	342
2	222
3	188
4	158
5	111
6	78
7	73
8	82
9	81
10	79
11	299
12	108
13	111
14	90
15	95
16	87
17	100
18	114
19	57
20	75
21	110
22	93
23	92
24	99
25	106
26	103
27	110
28	108
29	113
30	115
31	125
32	141
33	174
34	135
35	166
36	189
37	267
38	268
39	551
40	625
41	647
42	243
43	207
44	165
45	207
46	175
47	221
48	213
49	207
50	212
51	212
52	238
53	250
54	253
55	246
56	224
57	292
58	274
59	263
60	315
61	342
62	305
63	364
64	343
65	392
66	423
67	429
68	440
69	386
70	496
71	529
72	570
73	577
74	630
75	863
