0	1494030
1	402328
2	240685
3	227090
4	199917
5	227844
6	151833
7	195523
8	147781
9	154286
10	151909
11	162215
12	154998
13	158153
14	168082
15	174064
16	151499
17	157568
18	180368
19	166382
20	170500
21	178427
22	184844
23	173276
24	192572
25	199097
26	230171
27	236589
28	262331
29	276256
30	296416
31	296247
32	322868
33	327663
34	330223
35	370956
36	380732
37	382324
38	410186
39	460380
40	424645
41	426398
42	463073
43	480782
44	468563
45	484029
46	551811
47	558360
48	596863
49	633813
50	588523
51	592985
52	620133
53	746304
54	728663
55	1042664
56	830436
57	816722
58	1042604
59	991388
60	820829
61	822001
62	852132
63	945677
64	1056435
65	1124857
66	1112907
67	1187829
68	1227529
69	1274671
70	1295755
71	1379285
72	1419670
73	1513721
74	1549657
75	1772508
