/	62006
=	104165
7	60245
,	51964
2	50401
E	392974
1	170950
<	135272
J	1620408
>	127150
B	554835
?	294417
H	913238
&	124168
D	765831
I	1000015
G	616748
(	660346
F	1072445
:	117336
*	317581
-	37668
C	1366312
0	102227
.	32614
@	722709
;	196480
A	215198
6	67851
3	145032
#	28806600
9	81763
+	527545
8	117585
4	69075
)	974077
'	460149
5	57455
