/	62574
=	100655
7	50602
,	34149
2	44588
E	470551
1	111190
<	137779
J	2193255
>	131013
B	462275
?	380829
H	1190548
D	830996
&	120708
I	1352847
G	819452
(	623924
F	1237439
:	139871
*	214905
-	37142
C	1742583
0	89283
.	29235
@	898787
;	169530
A	235730
6	61118
3	122365
#	20636635
9	76046
+	149343
8	111744
4	70365
)	698543
'	441225
5	59155
