0	96162
1	36629
2	23029
3	12303
4	17397
5	8834
6	7572
7	7387
8	58491
9	53587
10	7044
11	7174
12	7271
13	7123
14	7160
15	7121
16	7211
17	7353
18	7275
19	7594
20	7803
21	7736
22	18879
23	20039
24	8877
25	9761
26	14481
27	11660
28	13475
29	10459
30	10975
31	11268
32	11544
33	11730
34	12405
35	12696
36	16242
37	13712
38	14496
39	15016
40	15487
41	16791
42	17172
43	19069
44	20243
45	61251
46	20651
47	22258
48	22839
49	131098
50	26200
51	26409
52	27729
53	29842
54	50601
55	31048
56	33604
57	35004
58	36387
59	40390
60	41332
61	60588
62	45438
63	46349
64	51870
65	55140
66	53171
67	55974
68	101436
69	109624
70	66643
71	104633
72	70848
73	75269
74	81389
75	115516
