0	204475
1	67204
2	41414
3	173142
4	29734
5	18636
6	16534
7	16007
8	76331
9	75348
10	15757
11	16334
12	16660
13	29787
14	16770
15	75748
16	17662
17	54523
18	18295
19	19357
20	20591
21	29741
22	32856
23	33942
24	22870
25	35086
26	32108
27	62545
28	42674
29	34013
30	35652
31	38421
32	41342
33	41720
34	98976
35	55387
36	52819
37	53513
38	60706
39	85766
40	62590
41	67643
42	65560
43	70116
44	73024
45	168640
46	87426
47	97710
48	85819
49	195014
50	95884
51	102491
52	119626
53	110320
54	201414
55	158763
56	132118
57	145600
58	142989
59	160151
60	160952
61	187000
62	176701
63	177408
64	187749
65	211649
66	203616
67	211514
68	270773
69	307553
70	254363
71	296963
72	272890
73	313482
74	313117
75	413747
