/	169	1087	1000	807	1086	881	1016	832	1097	1058	1196	1278	1115	1341	1400	1448	1555	1649	1712	2119	2089	2290	2798	3717	3094	3112	3495	3193	4265	3000	3005	3208	3138	3391	3647	3817	3982	4296	4612	4811	5481	5852	6088	7427	6841	6597	6960	7604	7899	8227	8691	8968	9503	10973	11552	11825	12561	13244	14104	14711	16319	16937	16472	18239	19612	20433	21653	23057	26660	25600	29292	28657	27421	25404	31679	0	
=	5560	31153	35564	40513	53696	46776	53992	52929	58110	66326	74371	85945	73631	84140	87833	86463	98194	94174	101795	97625	105231	106226	110159	116465	116787	135801	134278	138322	163786	150406	164081	156983	151185	176512	173835	198248	193220	190819	203810	198955	216905	218751	236878	237124	234497	250669	254989	272948	273709	260344	285592	285945	302833	300683	296788	312979	309782	321351	315629	324615	317988	308993	322876	316613	322203	319234	311915	314398	300593	304926	294620	289919	290121	284146	234537	234822	
:	2750	5765	7238	8682	10595	9490	11411	10862	12386	14076	15201	13951	14103	14912	16353	16912	18102	19250	20241	20518	21848	23447	29364	27047	29909	30576	33495	35906	37882	37717	37890	38839	39434	43815	46662	49886	52616	56144	58366	60735	63478	69213	72359	78935	82300	82267	89931	94040	100839	100795	108077	116133	118410	128069	132675	140263	144207	147949	152509	151681	159220	160013	166789	171273	172997	181580	189989	192082	196746	197920	203045	200863	204609	194163	248064	195166	
7	1849	3345	4449	5039	6183	5716	6395	6147	6958	8253	8924	9823	8676	9831	10525	12267	11368	12994	12584	14219	13842	15032	18640	18753	20460	20805	22448	22772	26485	23298	24928	23970	23618	26969	29139	32253	33109	34631	37009	37701	40955	43527	47128	52002	51200	52538	55754	60513	65495	63408	71726	73989	79559	84290	87463	93718	96221	101169	103799	107339	110068	111009	115401	120963	125444	133019	139501	146965	152515	156961	161551	163341	169363	159716	229822	177545	
*	731	1342	1178	478	1102	481	430	439	1736	1671	490	500	494	540	534	555	547	677	599	670	659	698	1418	1641	1030	1226	1408	1198	1335	1172	1269	1165	1202	1301	1403	1392	1556	1520	1611	1714	1836	2042	2245	2462	2440	2449	2391	2624	2688	3545	3091	3127	3217	3527	4215	3887	4149	4417	4555	4912	5453	5765	5520	5621	6420	6497	6578	6812	8304	7508	7748	8017	6108	5502	2617	0	
,	165	1090	956	514	988	545	798	488	1097	1043	675	805	689	898	821	834	890	1031	1053	1239	1404	1531	1851	2759	1922	2148	2317	1975	2584	1789	1977	2058	1995	2001	2228	2450	2661	2655	2981	3282	3546	3994	4216	4999	4539	4613	4540	5124	5489	5690	6052	5956	6611	7159	7467	8004	8100	9102	8944	10521	10512	10888	10797	11610	13165	13120	12670	14455	16188	16063	17076	16756	14791	13516	13483	0	
2	367	1286	1633	1638	2020	1622	1728	1762	2109	2326	2828	3022	2894	3078	3313	3635	3771	4064	4050	4467	4810	4959	6347	6655	7181	6902	7786	7510	8574	7397	7742	7773	7762	8616	9293	9624	10246	10706	11853	12405	13613	14724	15887	18314	17912	17274	18525	19725	21354	22010	23315	25215	26304	29717	31181	33592	34679	37383	39052	39495	41632	42291	43719	47379	50674	52780	57750	60711	70074	68375	75905	74352	75652	70399	99945	79047	
-	315	472	550	446	584	464	408	369	736	698	570	575	608	592	634	754	741	822	798	940	1020	1184	1534	1795	1614	1673	1980	1832	1949	1756	1705	1880	1831	1980	2188	2265	2202	2629	2792	2989	3215	3519	3677	4474	4275	3974	4093	4421	4489	5060	5169	5434	5637	6616	7081	7244	7643	8208	8696	9219	10316	10554	10203	11410	12417	12660	13432	13916	16440	15441	17313	17153	15430	14194	14794	0	
1	531	2029	2002	1828	2494	2006	2418	2048	2437	2559	2847	3134	2744	3129	3318	3385	3922	4091	4328	4795	5035	5339	6622	7609	7132	7276	7809	7192	9369	6586	7195	7094	7189	7745	8331	9293	9645	9883	11079	11895	13237	14419	15586	18939	16733	17521	17796	19805	20932	21157	23496	24349	26699	29263	30038	32991	34259	37591	37366	39710	41286	40650	43231	45653	49994	52150	54669	60288	68632	70812	75357	74079	76787	70759	96288	0	
0	252	972	1104	1000	1170	961	1011	973	1227	1369	1555	1752	1563	1764	1783	2085	2037	2206	2104	2451	2584	2775	3413	3890	3924	4109	4479	4321	5077	4355	4683	4530	4334	4962	5231	5697	5931	6221	6645	7103	7473	8112	8997	10425	9824	9843	9992	11073	11464	12067	12842	13662	14719	15795	16730	17815	18787	20308	20140	21735	22893	23221	23821	25348	27668	28379	29631	31905	35663	35793	38336	38301	37705	34948	48908	0	
