0	13043
1	3504
2	2349
3	2188
4	1711
5	1640
6	1378
7	1375
8	1212
9	1309
10	1152
11	2565
12	1107
13	1244
14	1121
15	1250
16	1172
17	1168
18	1243
19	1203
20	1239
21	1317
22	1245
23	1287
24	1337
25	1480
26	1594
27	1497
28	1534
29	1501
30	1626
31	1558
32	1690
33	1711
34	1726
35	2007
36	5374
37	13391
38	15670
39	45842
40	49095
41	49662
42	7915
43	7144
44	2492
45	2606
46	2406
47	2372
48	2596
49	2680
50	2775
51	3312
52	3331
53	3404
54	3453
55	3333
56	3397
57	3740
58	3732
59	3706
60	3820
61	4032
62	3976
63	4198
64	4591
65	4685
66	4803
67	5042
68	5168
69	5384
70	5669
71	5827
72	6109
73	6481
74	6527
75	9583
