0	3028
1	729
2	481
3	407
4	335
5	245
6	205
7	171
8	185
9	195
10	170
11	404
12	222
13	241
14	222
15	219
16	202
17	212
18	243
19	174
20	191
21	239
22	221
23	223
24	233
25	242
26	232
27	250
28	315
29	289
30	344
31	354
32	392
33	464
34	407
35	427
36	446
37	581
38	540
39	839
40	933
41	966
42	545
43	521
44	468
45	532
46	501
47	563
48	607
49	664
50	738
51	779
52	808
53	778
54	819
55	784
56	791
57	869
58	772
59	844
60	860
61	892
62	880
63	981
64	978
65	1008
66	1054
67	1063
68	1058
69	992
70	1198
71	1228
72	1296
73	1338
74	1474
75	1814
