0	24663
1	7327
2	4993
3	4924
4	3733
5	3794
6	3378
7	3387
8	2871
9	2935
10	2741
11	4286
12	2677
13	2901
14	2544
15	2913
16	2763
17	2721
18	2984
19	2853
20	2787
21	3057
22	3021
23	3028
24	3046
25	3309
26	3508
27	3308
28	3509
29	3611
30	4002
31	3881
32	4128
33	4173
34	4121
35	4511
36	8262
37	16295
38	18313
39	48917
40	52208
41	52861
42	11137
43	10688
44	5866
45	6182
46	5997
47	6342
48	7110
49	7431
50	7713
51	8732
52	9757
53	9732
54	9636
55	9216
56	9277
57	9758
58	9853
59	9639
60	9831
61	9929
62	9892
63	10661
64	11313
65	11278
66	11806
67	12069
68	11956
69	12370
70	12969
71	13354
72	13981
73	14786
74	14795
75	20404
